 Time Step, Mean Dist, StdDev Mean Dist, Mean Cluster Size, StdDev Mean Cluster Size, Mean SD Est, StdDev Mean SD Est, Mean acutal density
70,25.083128,6.042372,2.6666667,Stddev_mean_size,1.361111,0.15723301,0.14360423
71,26.29164,7.287607,2.8333333,Stddev_mean_size,1.355,0.18858844,0.13508166
72,25.551529,7.071238,2.8333333,Stddev_mean_size,1.3672222,0.1831791,0.12810425
73,26.00637,6.6790986,2.8333333,Stddev_mean_size,1.3672222,0.1831791,0.12738515
74,26.51264,6.396952,2.8333333,Stddev_mean_size,1.3672222,0.1831791,0.12318927
75,27.25267,6.107659,2.8333333,Stddev_mean_size,1.4777778,0.1700725,0.121761024
76,27.909424,5.8018603,2.8333333,Stddev_mean_size,1.4905556,0.16592185,0.12670581
77,29.425882,4.707265,2.7142856,Stddev_mean_size,1.4061905,0.15650444,0.10795913
78,29.815777,4.493369,2.7142856,Stddev_mean_size,1.4204762,0.14221872,0.110154994
79,29.02659,4.9987836,2.8333333,Stddev_mean_size,1.4905556,0.16592185,0.37898827
80,29.22233,4.7779236,2.8333333,Stddev_mean_size,1.4905556,0.16592185,0.41271484
81,29.552763,4.54024,2.8333333,Stddev_mean_size,1.4355555,0.172247,0.49308333
82,28.91832,5.507605,3,Stddev_mean_size,1.5126667,0.2063398,0.6862276
83,29.828234,4.956114,2.8333333,Stddev_mean_size,1.4633332,0.18657704,0.0711076
84,30.293,4.412402,2.7142856,Stddev_mean_size,1.4061906,0.15650444,0.062598005
85,29.772585,4.552357,2.7142856,Stddev_mean_size,1.4204762,0.14221872,0.06432136
86,29.496216,4.65324,2.7142856,Stddev_mean_size,1.4204762,0.14221872,0.065758675
87,30.133419,4.1757336,2.625,Stddev_mean_size,1.28875,0.12172902,0.05846445
88,30.014664,4.327491,2.625,Stddev_mean_size,1.25625,0.11921155,0.059729923
89,28.49931,4.353109,2.5,Stddev_mean_size,1.1958334,0.12152519,0.058858573
90,28.364735,4.5021687,2.5,Stddev_mean_size,1.19,0.11377728,0.05752628
91,28.361584,4.6044736,2.5,Stddev_mean_size,1.19,0.11377728,0.056165706
92,28.3468,4.624788,2.5,Stddev_mean_size,1.19,0.11377728,0.05623423
93,29.879494,5.243414,2.625,Stddev_mean_size,1.22125,0.1477378,0.056819405
94,26.936012,3.3658388,2.375,Stddev_mean_size,1.2208333,0.070844464,0.057137124
95,28.014704,3.1450737,2.3333333,Stddev_mean_size,1.1777778,0.068846144,0.050201613
96,27.082146,3.8114536,2.2222223,Stddev_mean_size,1.162963,0.027715981,0.050147746
97,30.116875,5.923779,2.4444444,Stddev_mean_size,1.1407408,0.1211203,0.05042328
98,31.054235,5.2673283,2.4,Stddev_mean_size,1.125,0.10156856,0.0446739
99,31.514654,5.202525,2.4,Stddev_mean_size,1.135,0.09156855,0.043531545
100,33.106014,5.316142,2.5555556,Stddev_mean_size,1.1583333,0.11289839,0.41373786
101,33.55646,5.195295,2.5555556,Stddev_mean_size,1.1666666,0.109204754,0.45176724
102,31.21354,3.3361316,2.5,Stddev_mean_size,1.1500001,0.10000001,0.51924217
103,27.752876,1.9885371,2.2222223,Stddev_mean_size,1.0611111,0.06111112,0.46736372
104,27.701742,1.9925745,2.2222223,Stddev_mean_size,1.0611111,0.03888889,0.4377869
105,27.581886,2.0856051,2.2222223,Stddev_mean_size,1.0611111,0.03888889,0.48624623
106,29.693216,4.5760126,2.3333333,Stddev_mean_size,1.1018519,0.065078035,0.52775556
107,32.218388,5.996809,2.4444444,Stddev_mean_size,1.1351852,0.112218484,0.06059867
108,32.572704,5.974121,2.4444444,Stddev_mean_size,1.1500001,0.101742834,0.053382196
109,32.420826,6.408983,2.5,Stddev_mean_size,1.16875,0.11446069,0.052792773
110,29.343092,3.2884517,2.2222223,Stddev_mean_size,1.0999999,0.07396505,0.042804256
111,28.328802,1.3720853,2.1,Stddev_mean_size,1.03,0.038284272,0.050129004
112,28.25111,1.4507723,2.1,Stddev_mean_size,1.04,0.028284272,0.052402847
113,31.081387,4.7982154,2.3333333,Stddev_mean_size,1.1027777,0.06775113,0.03380025
114,28.575918,5.0501485,2.2222223,Stddev_mean_size,1.0888888,0.06285394,0.03135427
115,28.364275,5.037237,2.2222223,Stddev_mean_size,1.0888888,0.06285394,0.029886978
116,28.355255,4.936546,2.2222223,Stddev_mean_size,1.0888888,0.06285394,0.02878947
117,28.141645,4.839091,2.2222223,Stddev_mean_size,1.0888888,0.06285394,0.02759283
118,27.286985,5.3820515,2.25,Stddev_mean_size,1.1,0.07071068,0.029525483
119,27.16852,5.338311,2.25,Stddev_mean_size,1.1,0.07071068,0.028541634
120,26.009644,5.9386168,2.2857144,Stddev_mean_size,1.1142857,0.08081221,0.03228924
121,27.796394,4.4458375,2.2222223,Stddev_mean_size,1.0666667,0.08507616,0.053770613
122,27.921741,4.551344,2.375,Stddev_mean_size,1.109375,0.083260685,0.0708672
123,27.286417,4.6418786,2.375,Stddev_mean_size,1.1187501,0.07910535,0.08492292
124,26.78392,4.7449203,2.375,Stddev_mean_size,1.1187501,0.07910535,0.10358278
