 Time Step, Robot ID, X, Y, Degree, SD Est 
13,4,-96.25863,-161.64061,0,0
13,5,193.15176,121.57043,0,0
13,6,-67.50109,84.605865,0,0
13,7,27.610489,238.52072,0,0
13,8,-364.17953,104.09102,0,0
13,9,-274.15915,-308.59872,0,0
13,10,150.48517,-210.29636,0,0
13,11,40.314445,-97.13936,0,0
14,0,-209.01318,197.17708,0,0
14,1,140.45891,311.70956,0,0
14,2,35.20002,-291.72568,0,0
14,3,355.49805,194.8007,0,0
14,4,-98.48247,-163.65419,0,0
14,5,196.1517,121.55156,0,0
14,6,-65.26326,86.6039,0,0
14,7,28.631351,235.69975,0,0
14,8,-362.73132,106.71831,0,0
14,9,-271.44977,-309.88684,0,0
14,10,147.88504,-211.79279,0,0
14,11,42.6191,-99.05992,0,0
15,0,-211.33258,199.07982,0,0
15,1,138.12943,309.81918,0,0
15,2,34.39675,-288.8352,0,0
15,3,352.5809,195.50089,0,0
15,4,-100.98783,-165.3044,0,0
15,5,199.15141,121.50946,0,0
15,6,-63.69319,89.16024,0,0
15,7,28.188395,232.73264,0,0
15,8,-361.19547,109.29535,0,0
15,9,-268.92126,-311.50134,0,0
15,10,145.27979,-213.28029,0,0
15,11,44.618984,-101.29609,0,0
16,0,-213.79437,200.79433,0,0
16,1,135.68317,308.08258,0,0
16,2,33.713,-285.91415,0,0
16,3,350.15662,197.26805,0,0
16,4,-103.70563,-166.57466,0,0
16,5,201.93117,120.38121,0,0
16,6,-62.89301,92.05156,0,0
16,7,28.741713,229.7841,0,0
16,8,-359.90033,112.00139,0,0
16,9,-265.95438,-311.9459,0,0
16,10,142.8795,-215.07991,0,0
16,11,44.66786,-104.29569,0,0
17,0,-216.33519,202.3894,0,0
17,1,133.09056,306.57315,0,0
17,2,33.061115,-282.98584,0,0
17,3,347.6542,198.9227,0,0
17,4,-106.40099,-167.89186,0,0
17,5,204.56923,118.952705,0,0
17,6,-62.654816,95.04209,0,0
17,7,28.19212,226.83487,0,0
17,8,-358.1019,114.40257,0,0
17,9,-263.21463,-313.1681,0,0
17,10,140.21024,-216.44922,0,0
17,11,45.496456,-107.17899,0,0
18,0,-218.3721,204.5919,0,0
18,1,131.26826,304.19003,0,0
18,2,32.132206,-280.13327,0,0
18,3,345.1235,200.53378,0,0
18,4,-108.50774,-170.02766,0,0
18,5,207.47128,118.19236,0,0
18,6,-63.18541,97.9948,0,0
18,7,27.901344,223.849,0,0
18,8,-356.61743,117.00956,0,0
18,9,-260.931,-315.1136,0,0
18,10,137.76212,-218.1832,0,0
18,11,46.258427,-110.08061,0,0
19,0,-219.77786,207.24216,0,0
19,1,130.23395,301.37396,0,0
19,2,31.08895,-277.3205,0,0
19,3,343.39703,202.9872,0,0
19,4,-110.80232,-171.96025,0,0
19,5,209.74461,116.23482,0,0
19,6,-63.857002,100.918655,0,0
19,7,26.958874,221.00089,0,0
19,8,-355.52982,119.805466,0,0
19,9,-258.5047,-316.87796,0,0
19,10,135.34372,-219.9584,0,0
19,11,47.985954,-112.533295,0,0
20,0,-221.15337,209.90823,0,0
20,1,129.92496,298.38992,0,0
20,2,29.859327,-274.58408,0,0
20,3,341.52075,205.32803,0,0
20,4,-113.14921,-173.82896,0,0
20,5,211.86346,114.11103,0,0
20,6,-65.06331,103.665436,0,0
20,7,25.414896,218.4287,0,0
20,8,-353.83176,122.27863,0,0
20,9,-256.11594,-318.69284,0,0
20,10,133.2383,-222.0955,0,0
20,11,49.370632,-115.194626,0,0
21,0,-221.86096,212.8236,0,0
21,1,130.26497,295.40924,0,0
21,2,28.863918,-271.75403,0,0
21,3,338.95288,206.87915,0,0
21,4,-115.292114,-175.92848,0,0
21,5,214.06914,112.07757,0,0
21,6,-66.47842,106.31071,0,0
21,7,23.750105,215.933,0,0
21,8,-352.89673,125.129196,0,0
21,9,-254.14711,-320.9564,0,0
21,10,131.10591,-224.2057,0,0
21,11,51.325157,-117.47055,0,0
22,0,-223.33577,215.43605,0,0
22,1,129.17892,292.61273,0,0
22,2,27.171898,-269.27673,0,0
22,3,336.60333,208.7445,0,0
22,4,-116.51703,-178.66702,0,0
22,5,216.96724,111.30234,0,0
22,6,-67.293625,109.19782,0,0
22,7,21.537897,213.90663,0,0
22,8,-351.22894,127.622894,0,0
22,9,-252.15015,-323.19516,0,0
22,10,128.9945,-226.3369,0,0
22,11,52.74473,-120.11343,0,0
23,0,-223.92589,218.37744,0,0
23,1,127.70895,289.99756,0,0
23,2,25.770447,-266.6242,0,0
23,3,334.18005,210.51303,0,0
23,4,-118.504944,-180.91383,0,0
23,5,219.73848,110.15333,0,0
23,6,-67.56111,112.185875,0,0
23,7,19.667639,211.56097,0,0
23,8,-349.27255,129.89722,0,0
23,9,-250.1407,-325.42273,0,0
23,10,127.07255,-228.64038,0,0
23,11,54.358067,-122.642685,0,0
24,0,-224.01968,221.37598,0,0
24,1,126.57713,287.21924,0,0
24,2,24.856504,-263.7668,0,0
24,3,331.6057,212.0534,0,0
24,4,-120.68903,-182.97046,0,0
24,5,222.3579,108.6909,0,0
24,6,-67.46885,115.184456,0,0
24,7,18.018341,209.05502,0,0
24,8,-347.893,132.5612,0,0
24,9,-247.86887,-327.38202,0,0
24,10,124.58684,-230.32004,0,0
24,11,55.776787,-125.28602,0,0
25,0,-224.01726,224.37598,0,0
25,1,124.93486,284.70868,0,0
25,2,25.08716,-260.7757,0,0
25,3,328.81244,213.14774,0,0
25,4,-123.04003,-184.834,0,0
25,5,225.00616,107.2814,0,0
25,6,-67.18707,118.171196,0,0
25,7,15.797815,207.03778,0,0
25,8,-346.60168,135.26906,0,0
25,9,-245.69218,-329.4465,0,0
25,10,122.34641,-232.31516,0,0
25,11,58.03537,-127.26056,0,0
26,0,-225.36917,227.0541,0,0
26,1,123.447876,282.10312,0,0
26,2,24.744335,-257.79535,0,0
26,3,325.97006,214.10733,0,0
26,4,-125.27488,-186.83536,0,0
26,5,227.28583,105.33124,0,0
26,6,-67.56521,121.14727,0,0
26,7,13.709201,204.88425,0,0
26,8,-345.20016,137.92155,0,0
26,9,-243.1988,-331.11475,0,0
26,10,119.80497,-233.90923,0,0
26,11,59.832912,-129.6624,0,0
27,0,-227.65112,229.00159,0,0
27,1,122.19005,279.37955,0,0
27,2,24.990839,-254.8055,0,0
27,3,323.36472,215.59468,0,0
27,4,-127.66145,-188.65312,0,0
27,5,229.81665,103.720345,0,0
27,6,-68.14164,124.09137,0,0
27,7,11.085145,203.43018,0,0
27,8,-343.7512,140.54843,0,0
27,9,-240.34854,-332.05066,0,0
27,10,117.08022,-235.1645,0,0
27,11,61.763977,-131.95827,0,0
28,0,-230.02199,230.8398,0,0
28,1,121.12619,276.57452,0,0
28,2,25.179415,-251.81143,0,0
28,3,320.45105,216.3092,0,0
28,4,-129.57097,-190.96695,0,0
28,5,231.97711,101.63891,0,0
28,6,-69.13223,126.9231,0,0
28,7,8.198953,202.61171,0,0
28,8,-342.47137,143.26175,0,0
28,9,-237.38817,-332.53665,0,0
28,10,114.69803,-236.988,0,0
28,11,63.976933,-133.98381,0,0
29,0,-231.79784,233.25772,0,0
29,1,120.38763,273.66687,0,0
29,2,25.479227,-248.82645,0,0
29,3,317.76785,217.65099,0,0
29,4,-130.95412,-193.62907,0,0
29,5,234.66241,100.30132,0,0
29,6,-69.30941,129.91786,0,0
29,7,5.203212,202.45192,0,0
29,8,-340.8951,145.81427,0,0
29,9,-234.40047,-332.2653,0,0
29,10,112.87408,-239.36986,0,0
29,11,66.4317,-135.70837,0,0
30,0,-232.71947,236.11264,0,0
30,1,120.73401,270.68692,0,0
30,2,26.058695,-245.88293,0,0
30,3,316.0241,220.09216,0,0
30,4,-132.02583,-196.43112,0,0
30,5,237.30179,98.87523,0,0
30,6,-68.2372,132.71971,0,0
30,7,2.2126265,202.21443,0,0
30,8,-339.3507,148.3862,0,0
30,9,-231.61949,-331.14005,0,0
30,10,110.481346,-241.17952,0,0
30,11,69.07876,-137.12015,0,0
31,0,-233.88077,238.87875,0,0
31,1,122.02977,267.98117,0,0
31,2,26.990156,-243.0312,0,0
31,3,313.70566,221.99603,0,0
31,4,-133.71967,-198.9072,0,0
31,5,239.53642,96.87363,0,0
31,6,-67.42866,135.6087,0,0
31,7,-0.7861059,202.30164,0,0
31,8,-337.79242,150.94974,0,0
31,9,-228.62105,-331.04355,0,0
31,10,108.39664,-243.33684,0,0
31,11,71.729866,-138.5243,0,0
32,0,-233.90843,241.87863,0,0
32,1,123.49836,265.3652,0,0
32,2,28.579628,-240.48688,0,0
32,3,311.3777,223.88826,0,0
32,4,-135.8342,-201.0353,0,0
32,5,241.51291,94.616745,0,0
32,6,-66.5883,138.4886,0,0
32,7,-3.7718914,202.00995,0,0
32,8,-336.37256,153.59247,0,0
32,9,-225.6232,-331.157,0,0
32,10,106.71167,-245.81895,0,0
32,11,74.59731,-139.4062,0,0
33,0,-233.63702,244.86633,0,0
33,1,124.08026,262.42218,0,0
33,2,29.814716,-237.75291,0,0
33,3,309.103,225.84421,0,0
33,4,-138.51352,-202.38481,0,0
33,5,243.79889,92.673996,0,0
33,6,-66.086136,141.44627,0,0
33,7,-6.759831,201.74121,0,0
33,8,-334.75397,156.11836,0,0
33,9,-222.62624,-331.0219,0,0
33,10,104.52759,-247.8756,0,0
33,11,77.24257,-140.82133,0,0
34,0,-232.90504,247.77567,0,0
34,1,124.269775,259.42816,0,0
34,2,31.32155,-235.1588,0,0
34,3,306.6976,227.63701,0,0
34,4,-141.50659,-202.58865,0,0
34,5,246.09505,90.743286,0,0
34,6,-65.081184,144.27295,0,0
34,7,-9.75637,201.59714,0,0
34,8,-334.446,159.10251,0,0
34,9,-219.62628,-331.0395,0,0
34,10,102.34572,-249.93459,0,0
34,11,80.19151,-141.37244,0,0
35,0,-234.11867,250.51923,0,0
35,1,125.033875,256.5271,0,0
35,2,32.43265,-232.37215,0,0
35,3,304.29834,229.438,0,0
35,4,-144.2949,-203.69559,0,0
35,5,248.96103,89.85662,0,0
35,6,-64.98918,147.27155,0,0
35,7,-12.745464,201.34157,0,0
35,8,-334.71408,162.0905,0,0
35,9,-216.62679,-330.9845,0,0
35,10,100.078125,-251.89877,0,0
35,11,83.150345,-141.8677,0,0
36,0,-235.69049,253.0745,0,0
36,1,125.748314,253.61342,0,0
36,2,33.127758,-229.45378,1,1
36,3,302.11353,231.49387,0,0
36,4,-146.92514,-205.13847,0,0
36,5,251.47644,88.22178,0,0
36,6,-65.810715,150.15686,0,0
36,7,-15.6867895,200.75114,0,0
36,8,-334.9339,165.08244,0,0
36,9,-213.62872,-330.87665,0,0
36,10,97.46311,-253.36905,1,1
36,11,86.11018,-142.35696,0,0
37,0,-237.76163,255.24483,0,0
37,1,126.558914,250.725,0,0
37,2,33.807175,-226.53172,1,1
37,3,300.03934,233.6613,0,0
37,4,-149.60031,-206.49622,0,0
37,5,253.88376,86.43157,0,0
37,6,-66.05829,153.14662,1,1
37,7,-18.052177,198.9059,1,1
37,8,-335.13498,168.0757,0,0
37,9,-210.69301,-330.25894,0,0
37,10,94.65643,-254.42856,1,1
37,11,89.11017,-142.3468,0,0
38,0,-240.45259,256.57098,0,0
38,1,128.17789,248.19936,0,0
38,2,34.753967,-223.68504,1,1
38,3,298.31094,236.11336,0,0
38,4,-152.23494,-207.93103,0,0
38,5,256.1884,84.51099,0,0
38,6,-65.81756,156.13695,1,1
38,7,-20.68444,197.46674,1,1
38,8,-334.66177,171.03815,0,0
38,9,-207.69585,-330.38956,0,0
38,10,92.05909,-255.92984,1,1
38,11,92.053215,-141.765,0,0
39,0,-243.39131,257.1742,0,0
39,1,130.61694,246.45264,0,0
39,2,35.6883,-220.83424,1,1
39,3,296.7729,238.68909,0,0
39,4,-154.4958,-209.90295,0,0
39,5,258.76962,82.9822,0,0
39,6,-64.67407,158.91048,1,1
39,7,-22.858166,195.39914,1,1
39,8,-334.6569,174.03815,0,0
39,9,-204.6972,-330.2993,0,0
39,10,89.3813,-257.2824,1,1
39,11,95.05268,-141.70831,0,0
40,0,-246.36935,256.81195,0,0
40,1,132.68259,244.27705,0,0
40,2,37.02273,-218.14737,1,1
40,3,295.57935,241.44144,0,0
40,4,-157.04971,-211.47697,0,0
40,5,261.71988,82.43821,0,0
40,6,-63.764343,161.76921,1,1
40,7,-25.019722,193.31883,1,1
40,8,-335.49966,176.91733,0,0
40,9,-201.69847,-330.3866,0,0
40,10,86.90005,-258.96863,1,1
40,11,98.049576,-141.84471,0,0
41,0,-249.25941,256.00726,0,0
