 Time Step, Mean Dist, StdDev Mean Dist, Mean Cluster Size, Mean SD Est, StdDev Mean SD Est,
106,23.486227,1.7075578,2.1666667,1.1666666,0,
107,22.388891,2.06173,2.2,1.2,0,
108,23.726469,1.9024076,2.2,1.2,0,
109,24.736917,2.064754,2.2,1.0666667,0.0942809,
110,25.965525,2.2299926,2.2,1.0333333,0.04714045,
111,26.867819,2.1341302,2.2,1.0333333,0.04714045,
112,22.802832,6.51E-06,2,1,0,
113,25.223303,6.23E-06,2,1,0,
114,20.072674,6.64E-06,2,1,0,
115,23.994703,5.52E-06,2,1,0,
116,31.425598,6.6164346,2.6,1.0791667,0.08852213,
117,34.13457,10.134707,2.6666667,1.1041666,0.12142557,
118,33.306873,10.309272,2.6666667,1.1180555,0.14106742,
119,30.059393,5.8048663,2.5,1.1585648,0.1178767,
120,29.52625,5.7563133,2.5,1.1782407,0.12666605,
121,26.274973,2.0180008,2.3333333,1.150463,0.08738235,
122,29.032875,4.9467297,2.5,1.1782407,0.12666605,
123,28.255865,5.0679336,2.5,1.1782407,0.12666605,
124,27.568459,5.224401,2.5,1.1782407,0.12666605,
125,27.04497,5.3456063,2.5,1.1782407,0.12666605,
126,26.678762,5.441405,2.5,1.074074,0.11947125,
127,26.36927,5.681289,2.5,1.0555555,0.08739623,
128,24.296347,3.9980488,2.3333333,1.0555555,0.078567415,
129,24.059072,4.2111816,2.3333333,1.1805555,0.058925565,
130,24.050062,4.410356,2.3333333,1.1944444,0.039283708,
131,23.603167,4.614035,2.3333333,1.1944444,0.039283708,
132,23.302572,4.7426686,2.3333333,1.1944444,0.039283708,
133,23.089905,4.8764863,2.3333333,1.1944444,0.039283708,
134,24.285233,4.239434,2.2857144,1.1666666,0.033671748,
135,26.301617,5.7027335,2.4285715,1.1785715,0.050507627,
136,26.822863,5.9666862,2.4285715,1.1904762,0.067343496,
137,27.275663,5.992414,2.4285715,1.1904762,0.067343496,
138,26.33837,6.9838815,2.5,1.2222222,0.078567415,
139,26.632517,6.9117603,2.5,1.2222222,0.078567415,
140,24.473694,4.5999126,2.3333333,1.1944444,0.039283708,
141,27.664871,6.179344,2.5,1.1585648,0.1178767,
142,28.32209,6.196152,2.5,1.1782407,0.12666605,
143,67.99613,36.806786,2.8333333,1.0722221,0.1859349,
144,42.719776,18.096754,3,1.0902778,0.18726517,
145,43.166447,17.806091,3,1.0972222,0.19140129,
146,43.666706,17.544514,3,1.0972222,0.19140129,
147,44.2446,17.333084,3,1.0972222,0.19140129,
148,43.105083,14.571452,3.2,1.0904762,0.17371218,
149,43.692238,16.95074,3.2,1.1047618,0.18304257,
150,43.065483,16.730892,3.2,1.1047618,0.18304257,
151,35.4087,11.391257,3,1.1953703,0.1281206,
152,35.111374,13.698583,3.25,1.2847222,0.17779529,
153,28.24827,8.668946,2.8,1.2305555,0.17556949,
154,27.387661,8.304924,2.8,1.2472222,0.19913971,
155,28.907011,5.6318245,2.5714285,1.2599207,0.1377315,
156,28.522715,5.356731,2.5714285,1.295635,0.108570896,
157,32.062923,7.026281,2.7142856,1.3075397,0.12540677,
158,33.822872,10.701472,2.857143,1.3313493,0.15907852,
159,30.663706,9.358966,2.7142856,1.2738094,0.18519463,
160,27.512274,8.029258,2.5714285,1.2142857,0.10101525,
161,28.96523,9.963921,2.7142856,1.235119,0.11373772,
162,28.409586,9.437455,2.7142856,1.2440475,0.120914936,
163,27.997349,8.952812,2.7142856,1.3511904,0.10407906,
164,27.774624,8.449079,2.7142856,1.3630952,0.087243184,
165,29.585598,10.685138,2.857143,1.3412699,0.16022563,
166,30.023077,8.808652,2.75,1.3055556,0.14187455,
167,25.477766,5.0328856,2.4444444,1.2299383,0.08444403,
168,24.92878,4.6156597,2.4444444,1.2299383,0.08444403,
169,24.589884,4.274627,2.4444444,1.2299383,0.08444403,
170,22.644156,4.6917734,2.5,1.2586806,0.09499954,
171,22.19577,4.5667048,2.5,1.3315972,0.09105228,
172,23.948242,5.5030403,2.625,1.3836806,0.09499954,
173,23.590794,5.343124,2.625,1.3836806,0.09499954,
174,25.732178,6.355622,2.75,1.3567709,0.15394428,
175,25.657972,6.1494656,2.75,1.3133681,0.15079196,
176,37.376972,15.041796,2.7777777,1.1824075,0.13943413,
177,38.344093,15.756086,2.5,1.1266668,0.087990716,
178,38.23844,15.97272,2.5,1.1266668,0.087990716,
179,34.0032,11.557577,2.4545455,1.1151515,0.07999156,
180,34.314274,11.72337,2.4545455,1.1151515,0.07999156,
181,34.661716,11.875993,2.4545455,1.1151515,0.07999156,
182,35.415707,12.251301,2.4545455,1.1151515,0.07999156,
183,27.798996,3.69206,2.4,1.1033334,0.07147058,
184,28.38454,3.98041,2.4,1.1133335,0.073179804,
185,29.697294,3.8843424,2.3636363,1.1030303,0.0665271,
186,30.408247,4.1258335,2.3636363,1.0651516,0.063087255,
187,27.533085,2.898098,2.3333333,1.0555556,0.046481114,
188,27.435785,3.3915076,2.5,1.0549769,0.055715073,
189,32.482204,7.097405,2.75,1.1342593,0.11967453,
190,32.1072,8.277796,2.857143,1.175926,0.1615193,
191,31.92952,8.380375,2.857143,1.175926,0.1615193,
192,32.00744,8.441644,2.857143,1.175926,0.1615193,
193,32.528454,7.3078322,2.75,1.1539352,0.1413294,
194,34.543232,9.874709,2.875,1.1747684,0.17079218,
195,34.56827,9.588211,2.875,1.2581018,0.15606079,
196,32.03825,6.491415,2.75,1.3025174,0.10294177,
197,31.779154,6.3156233,2.75,1.3331885,0.11411847,
198,29.303143,5.3923655,2.625,1.3904514,0.05244511,
199,29.694479,4.684447,2.5555556,1.337963,0.038611736,
200,29.622135,4.6616535,2.5555556,1.300463,0.034522474,
201,26.545418,2.8352692,2.4444444,1.3103395,0.011957636,
202,25.992697,2.673991,2.4444444,1.3194444,0.0124226,
203,25.794825,2.492103,2.4444444,1.3194444,0.0124226,
204,24.313097,2.6744711,2.5,1.28125,0.0861503,
205,23.958282,2.5582733,2.5,1.2458334,0.062011983,
206,21.891012,2.8185976,2.5714285,1.2809525,0.07087084,
207,21.80679,2.7118328,2.5714285,1.2809525,0.07087084,
208,22.416153,2.4706633,2.5714285,1.2809525,0.07087084,
209,19.228205,1.7863487,2.25,1.25,0,
210,19.588198,1.8824329,2.25,1.25,0,
211,27.453,4.1414566,2.7142856,1.226984,0.10771559,
212,27.509262,4.7524314,2.5714285,1.220238,0.087243184,
213,33.326485,7.769999,3,1.3090278,0.1559103,
214,33.33251,9.996043,3.2,1.25,0.29142135,
215,30.190771,10.183501,3,1.1916666,0.23999159,
216,30.102148,10.378331,3,1.2916666,0.21010573,
217,30.384098,10.063034,3,1.3416666,0.16928092,
218,31.016922,9.55646,3,1.3416666,0.16928092,
219,31.708447,9.33811,3,1.3416666,0.16928092,
220,33.149643,7.6191792,2.8333333,1.3414351,0.15076405,
221,34.228916,7.743194,2.8333333,1.3726851,0.16594976,
222,30.68389,7.1971893,2.8,1.4138888,0.15199926,
223,28.481735,3.6974728,2.5,1.3171296,0.08738235,
224,28.58255,4.2617517,2.5,1.3171296,0.08738235,
225,32.998386,10.844866,3,1.4138889,0.15199926,
226,32.85537,9.677397,2.8333333,1.3726853,0.16594976,
227,32.640327,8.836493,2.7142856,1.2003968,0.1759144,
228,29.256582,6.530449,2.5714285,1.3214285,0.11333996,
229,29.536543,5.576381,2.5,1.2916666,0.05892556,
230,29.104664,5.4755473,2.5,1.2916666,0.05892556,
231,28.707058,5.710453,2.5,1.2916666,0.05892556,
232,28.233402,6.0412927,2.5,1.2916666,0.05892556,
233,29.152191,6.225329,2.7142856,1.3541666,0.080065966,
234,25.94483,3.7826858,2.5714285,1.3392857,0.05357143,
235,25.517477,3.8667827,2.5714285,1.3392857,0.05357143,
236,25.075594,3.9877534,2.5714285,1.3392857,0.05357143,
237,26.991444,5.3198276,2.7142856,1.3174603,0.12655386,
238,26.165361,5.1824365,2.7142856,1.3253968,0.12847058,
239,25.700754,5.2283893,2.7142856,1.3829365,0.13937566,
240,25.391232,5.237892,2.7142856,1.3968254,0.07539681,
241,27.507124,5.739379,2.857143,1.3789682,0.14801253,
242,27.846376,5.754048,2.857143,1.4339286,0.15770115,
243,28.576181,5.8717647,2.857143,1.4607143,0.17071748,
244,29.489573,6.3417945,2.857143,1.3914683,0.23152852,
245,26.785368,5.6475983,2.8333333,1.6365741,0.1070242,
246,27.808792,6.0975,2.8333333,1.5115741,0.12666605,
247,31.160727,8.172702,3,1.5393519,0.16594976,
248,31.705896,8.910964,3,1.5393519,0.16594976,
249,32.266163,9.665461,3,1.5393519,0.16594976,
250,31.125633,7.5874143,2.8333333,1.5833334,0.09820926,
251,32.67752,11.545168,3.2,1.6591667,0.14403026,
